_id,Term,First Name,Last Name,Committee,MTG #,Session Date,Session Type,Session Start-End Time,Present
856,2022-2026,Jennifer,McKelvie,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
857,2022-2026,Chris,Moise,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
858,2022-2026,Amber,Morley,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
859,2022-2026,Jamaal,Myers,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
860,2022-2026,Frances,Nunziata,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
861,2022-2026,James,Pasternak,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
862,2022-2026,Gord,Perks,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
863,2022-2026,Anthony,Perruzza,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
864,2022-2026,Jaye,Robinson,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
865,2022-2026,Dianne,Saxe,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
866,2022-2026,Michael,Thompson,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
867,2022-2026,John,Tory,City Council,4,2023-02-15,Morning,11:56AM - 12:33PM,Y
868,2022-2026,Lily,Cheng,Board of Directors of TO Live,2,2023-02-15,Afternoon,12:35PM - 13:09PM,N
869,2022-2026,Gary,Crawford,Board of Directors of TO Live,2,2023-02-15,Afternoon,12:35PM - 13:09PM,N
870,2022-2026,Chris,Moise,Board of Directors of TO Live,2,2023-02-15,Afternoon,12:35PM - 13:09PM,N
871,2022-2026,Paul,Ainslie,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
872,2022-2026,Brad,Bradford,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
873,2022-2026,Alejandra,Bravo,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
874,2022-2026,Jon,Burnside,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
875,2022-2026,Shelley,Carroll,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
876,2022-2026,Lily,Cheng,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
877,2022-2026,Mike,Colle,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
878,2022-2026,Gary,Crawford,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
879,2022-2026,Vincent,Crisanti,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
880,2022-2026,Paula,Fletcher,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
881,2022-2026,Stephen,Holyday,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
882,2022-2026,Ausma,Malik,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
883,2022-2026,Nick,Mantas,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
884,2022-2026,Josh,Matlow,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
885,2022-2026,Jennifer,McKelvie,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
886,2022-2026,Chris,Moise,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
887,2022-2026,Amber,Morley,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
888,2022-2026,Jamaal,Myers,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
889,2022-2026,Frances,Nunziata,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
890,2022-2026,James,Pasternak,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
891,2022-2026,Gord,Perks,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
892,2022-2026,Anthony,Perruzza,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
893,2022-2026,Jaye,Robinson,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
894,2022-2026,Dianne,Saxe,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
895,2022-2026,Michael,Thompson,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
896,2022-2026,John,Tory,City Council,4,2023-02-15,Afternoon,14:13PM - 18:02PM,Y
897,2022-2026,Paul,Ainslie,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
898,2022-2026,Brad,Bradford,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
899,2022-2026,Alejandra,Bravo,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
900,2022-2026,Jon,Burnside,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
901,2022-2026,Shelley,Carroll,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
902,2022-2026,Lily,Cheng,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
903,2022-2026,Mike,Colle,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
904,2022-2026,Gary,Crawford,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
905,2022-2026,Vincent,Crisanti,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
906,2022-2026,Paula,Fletcher,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
907,2022-2026,Stephen,Holyday,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
908,2022-2026,Ausma,Malik,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
909,2022-2026,Nick,Mantas,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
910,2022-2026,Josh,Matlow,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
911,2022-2026,Jennifer,McKelvie,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
912,2022-2026,Chris,Moise,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
913,2022-2026,Amber,Morley,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
914,2022-2026,Jamaal,Myers,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
915,2022-2026,Frances,Nunziata,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
916,2022-2026,James,Pasternak,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
917,2022-2026,Gord,Perks,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
918,2022-2026,Anthony,Perruzza,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
919,2022-2026,Jaye,Robinson,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
920,2022-2026,Dianne,Saxe,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
921,2022-2026,Michael,Thompson,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
922,2022-2026,John,Tory,City Council,4,2023-02-15,Evening,18:40PM - 21:28PM,Y
923,2022-2026,Paul,Ainslie,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
924,2022-2026,Brad,Bradford,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
925,2022-2026,Alejandra,Bravo,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
926,2022-2026,Jon,Burnside,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
927,2022-2026,Shelley,Carroll,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
928,2022-2026,Lily,Cheng,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
929,2022-2026,Mike,Colle,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
930,2022-2026,Gary,Crawford,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
931,2022-2026,Vincent,Crisanti,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
932,2022-2026,Paula,Fletcher,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
933,2022-2026,Stephen,Holyday,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
934,2022-2026,Ausma,Malik,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
935,2022-2026,Nick,Mantas,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
936,2022-2026,Josh,Matlow,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
937,2022-2026,Jennifer,McKelvie,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
938,2022-2026,Chris,Moise,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
939,2022-2026,Amber,Morley,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
940,2022-2026,Jamaal,Myers,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
941,2022-2026,Frances,Nunziata,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
942,2022-2026,James,Pasternak,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
943,2022-2026,Gord,Perks,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
944,2022-2026,Anthony,Perruzza,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
945,2022-2026,Jaye,Robinson,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
946,2022-2026,Dianne,Saxe,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
947,2022-2026,Michael,Thompson,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
948,2022-2026,John,Tory,City Council,4,2023-02-15,Evening,21:37PM - 22:11PM,Y
949,2022-2026,Alejandra,Bravo,Toronto Preservation Board,3,2023-02-16,Morning,09:32AM - 12:59PM,Y
950,2022-2026,Paul,Ainslie,Economic and Community Development Committee ,2,2023-02-16,Morning,09:35AM - 10:04AM,Y
951,2022-2026,Shelley,Carroll,Economic and Community Development Committee ,2,2023-02-16,Morning,09:35AM - 10:04AM,Y
952,2022-2026,Nick,Mantas,Economic and Community Development Committee ,2,2023-02-16,Morning,09:35AM - 10:04AM,Y
953,2022-2026,Chris,Moise,Economic and Community Development Committee ,2,2023-02-16,Morning,09:35AM - 10:04AM,Y
954,2022-2026,Jaye,Robinson,Economic and Community Development Committee ,2,2023-02-16,Morning,09:35AM - 10:04AM,N
955,2022-2026,Michael,Thompson,Economic and Community Development Committee ,2,2023-02-16,Morning,09:35AM - 10:04AM,Y
956,2022-2026,Paul,Ainslie,Board of Management of the Toronto Zoo,2,2023-02-17,Afternoon,14:32PM - 15:09PM,Y
957,2022-2026,Jennifer,McKelvie,Board of Management of the Toronto Zoo,2,2023-02-17,Afternoon,14:32PM - 15:09PM,N
958,2022-2026,Jamaal,Myers,Board of Management of the Toronto Zoo,2,2023-02-17,Afternoon,14:32PM - 15:09PM,Y
959,2022-2026,Alejandra,Bravo,Board of Health,2,2023-02-21,Morning,09:34AM - 12:06PM,Y
960,2022-2026,Ausma,Malik,Board of Health,2,2023-02-21,Morning,09:34AM - 12:06PM,Y
961,2022-2026,Nick,Mantas,Board of Health,2,2023-02-21,Morning,09:34AM - 12:06PM,Y
962,2022-2026,Chris,Moise,Board of Health,2,2023-02-21,Morning,09:34AM - 12:06PM,Y
963,2022-2026,Gord,Perks,Board of Health,2,2023-02-21,Morning,09:34AM - 12:06PM,Y
964,2022-2026,Michael,Thompson,Board of Health,2,2023-02-21,Morning,09:34AM - 12:06PM,Y
965,2022-2026,Jon,Burnside,Civic Appointments Committee,3,2023-02-21,Morning,09:35AM - 09:53AM,Y
966,2022-2026,Gary,Crawford,Civic Appointments Committee,3,2023-02-21,Morning,09:35AM - 09:53AM,Y
967,2022-2026,Amber,Morley,Civic Appointments Committee,3,2023-02-21,Morning,09:35AM - 09:53AM,Y
968,2022-2026,Jamaal,Myers,Civic Appointments Committee,3,2023-02-21,Morning,09:35AM - 09:53AM,Y
969,2022-2026,Frances,Nunziata,Civic Appointments Committee,3,2023-02-21,Morning,09:35AM - 09:53AM,Y
970,2022-2026,Jon,Burnside,Civic Appointments Committee,3,2023-02-21,Morning,09:54AM - 10:00AM,Y
971,2022-2026,Gary,Crawford,Civic Appointments Committee,3,2023-02-21,Morning,09:54AM - 10:00AM,Y
972,2022-2026,Amber,Morley,Civic Appointments Committee,3,2023-02-21,Morning,09:54AM - 10:00AM,Y
973,2022-2026,Jamaal,Myers,Civic Appointments Committee,3,2023-02-21,Morning,09:54AM - 10:00AM,Y
974,2022-2026,Frances,Nunziata,Civic Appointments Committee,3,2023-02-21,Morning,09:54AM - 10:00AM,Y
975,2022-2026,Jon,Burnside,Civic Appointments Committee,3,2023-02-21,Morning,10:01AM - 10:02AM,Y
976,2022-2026,Gary,Crawford,Civic Appointments Committee,3,2023-02-21,Morning,10:01AM - 10:02AM,Y
977,2022-2026,Amber,Morley,Civic Appointments Committee,3,2023-02-21,Morning,10:01AM - 10:02AM,Y
978,2022-2026,Jamaal,Myers,Civic Appointments Committee,3,2023-02-21,Morning,10:01AM - 10:02AM,Y
979,2022-2026,Frances,Nunziata,Civic Appointments Committee,3,2023-02-21,Morning,10:01AM - 10:02AM,Y
980,2022-2026,Jon,Burnside,North York Community Council,3,2023-02-22,Morning,09:40AM - 12:52PM,Y
981,2022-2026,Shelley,Carroll,North York Community Council,3,2023-02-22,Morning,09:40AM - 12:52PM,Y
982,2022-2026,Lily,Cheng,North York Community Council,3,2023-02-22,Morning,09:40AM - 12:52PM,Y
983,2022-2026,Mike,Colle,North York Community Council,3,2023-02-22,Morning,09:40AM - 12:52PM,Y
984,2022-2026,James,Pasternak,North York Community Council,3,2023-02-22,Morning,09:40AM - 12:52PM,Y
985,2022-2026,Jaye,Robinson,North York Community Council,3,2023-02-22,Morning,09:40AM - 12:52PM,Y
986,2022-2026,Brad,Bradford,Toronto and East York Community Council,3,2023-02-23,Morning,09:37AM - 12:24PM,Y
987,2022-2026,Alejandra,Bravo,Toronto and East York Community Council,3,2023-02-23,Morning,09:37AM - 12:24PM,Y
988,2022-2026,Paula,Fletcher,Toronto and East York Community Council,3,2023-02-23,Morning,09:37AM - 12:24PM,Y
989,2022-2026,Ausma,Malik,Toronto and East York Community Council,3,2023-02-23,Morning,09:37AM - 12:24PM,Y
990,2022-2026,Josh,Matlow,Toronto and East York Community Council,3,2023-02-23,Morning,09:37AM - 12:24PM,Y
991,2022-2026,Chris,Moise,Toronto and East York Community Council,3,2023-02-23,Morning,09:37AM - 12:24PM,Y
992,2022-2026,Gord,Perks,Toronto and East York Community Council,3,2023-02-23,Morning,09:37AM - 12:24PM,Y
993,2022-2026,Dianne,Saxe,Toronto and East York Community Council,3,2023-02-23,Morning,09:37AM - 12:24PM,Y
994,2022-2026,Paul,Ainslie,Scarborough Community Council,3,2023-02-24,Morning,09:39AM - 11:49AM,Y
995,2022-2026,Gary,Crawford,Scarborough Community Council,3,2023-02-24,Morning,09:39AM - 11:49AM,N
996,2022-2026,Nick,Mantas,Scarborough Community Council,3,2023-02-24,Morning,09:39AM - 11:49AM,Y
997,2022-2026,Jennifer,McKelvie,Scarborough Community Council,3,2023-02-24,Morning,09:39AM - 11:49AM,Y
998,2022-2026,Jamaal,Myers,Scarborough Community Council,3,2023-02-24,Morning,09:39AM - 11:49AM,Y
999,2022-2026,Michael,Thompson,Scarborough Community Council,3,2023-02-24,Morning,09:39AM - 11:49AM,N
1000,2022-2026,Vincent,Crisanti,Etobicoke York Community Council,3,2023-02-27,Morning,09:35AM - 10:56AM,Y
1001,2022-2026,Stephen,Holyday,Etobicoke York Community Council,3,2023-02-27,Morning,09:35AM - 10:56AM,Y
1002,2022-2026,Amber,Morley,Etobicoke York Community Council,3,2023-02-27,Morning,09:35AM - 10:56AM,Y
1003,2022-2026,Frances,Nunziata,Etobicoke York Community Council,3,2023-02-27,Morning,09:35AM - 10:56AM,Y
1004,2022-2026,Anthony,Perruzza,Etobicoke York Community Council,3,2023-02-27,Morning,09:35AM - 10:56AM,Y
1005,2022-2026,Brad,Bradford,Planning and Housing Committee,2,2023-02-28,Morning,09:38AM - 12:26PM,Y
1006,2022-2026,Vincent,Crisanti,Planning and Housing Committee,2,2023-02-28,Morning,09:38AM - 12:26PM,Y
1007,2022-2026,Paula,Fletcher,Planning and Housing Committee,2,2023-02-28,Morning,09:38AM - 12:26PM,Y
1008,2022-2026,Ausma,Malik,Planning and Housing Committee,2,2023-02-28,Morning,09:38AM - 12:26PM,Y
1009,2022-2026,Jamaal,Myers,Planning and Housing Committee,2,2023-02-28,Morning,09:38AM - 12:26PM,Y
1010,2022-2026,Frances,Nunziata,Planning and Housing Committee,2,2023-02-28,Morning,09:38AM - 12:26PM,Y
1011,2022-2026,Brad,Bradford,Planning and Housing Committee,2,2023-02-28,Afternoon,14:06PM - 17:08PM,Y
1012,2022-2026,Vincent,Crisanti,Planning and Housing Committee,2,2023-02-28,Afternoon,14:06PM - 17:08PM,Y
1013,2022-2026,Paula,Fletcher,Planning and Housing Committee,2,2023-02-28,Afternoon,14:06PM - 17:08PM,Y
1014,2022-2026,Ausma,Malik,Planning and Housing Committee,2,2023-02-28,Afternoon,14:06PM - 17:08PM,Y
1015,2022-2026,Jamaal,Myers,Planning and Housing Committee,2,2023-02-28,Afternoon,14:06PM - 17:08PM,Y
1016,2022-2026,Frances,Nunziata,Planning and Housing Committee,2,2023-02-28,Afternoon,14:06PM - 17:08PM,Y
1017,2022-2026,Brad,Bradford,Planning and Housing Committee,2,2023-02-28,Afternoon,17:10PM - 17:25PM,Y
1018,2022-2026,Vincent,Crisanti,Planning and Housing Committee,2,2023-02-28,Afternoon,17:10PM - 17:25PM,N
1019,2022-2026,Paula,Fletcher,Planning and Housing Committee,2,2023-02-28,Afternoon,17:10PM - 17:25PM,Y
1020,2022-2026,Ausma,Malik,Planning and Housing Committee,2,2023-02-28,Afternoon,17:10PM - 17:25PM,Y
1021,2022-2026,Jamaal,Myers,Planning and Housing Committee,2,2023-02-28,Afternoon,17:10PM - 17:25PM,Y
1022,2022-2026,Frances,Nunziata,Planning and Housing Committee,2,2023-02-28,Afternoon,17:10PM - 17:25PM,Y
1023,2022-2026,Brad,Bradford,Planning and Housing Committee,2,2023-02-28,Afternoon,17:27PM - 17:34PM,Y
1024,2022-2026,Vincent,Crisanti,Planning and Housing Committee,2,2023-02-28,Afternoon,17:27PM - 17:34PM,N
1025,2022-2026,Paula,Fletcher,Planning and Housing Committee,2,2023-02-28,Afternoon,17:27PM - 17:34PM,Y
1026,2022-2026,Ausma,Malik,Planning and Housing Committee,2,2023-02-28,Afternoon,17:27PM - 17:34PM,Y
1027,2022-2026,Jamaal,Myers,Planning and Housing Committee,2,2023-02-28,Afternoon,17:27PM - 17:34PM,Y
1028,2022-2026,Frances,Nunziata,Planning and Housing Committee,2,2023-02-28,Afternoon,17:27PM - 17:34PM,Y
1029,2022-2026,Brad,Bradford,Toronto Parking Authority,2,2023-03-03,Morning,09:35AM - 12:24PM,N
1030,2022-2026,Chris,Moise,Toronto Parking Authority,2,2023-03-03,Morning,09:35AM - 12:24PM,Y
1031,2022-2026,Alejandra,Bravo,General Government Committee,2,2023-03-03,Morning,09:49AM - 12:28PM,Y
1032,2022-2026,Lily,Cheng,General Government Committee,2,2023-03-03,Morning,09:49AM - 12:28PM,N
1033,2022-2026,Stephen,Holyday,General Government Committee,2,2023-03-03,Morning,09:49AM - 12:28PM,Y
1034,2022-2026,Josh,Matlow,General Government Committee,2,2023-03-03,Morning,09:49AM - 12:28PM,Y
1035,2022-2026,James,Pasternak,General Government Committee,2,2023-03-03,Morning,09:49AM - 12:28PM,Y
1036,2022-2026,Gord,Perks,General Government Committee,2,2023-03-03,Morning,09:49AM - 12:28PM,Y
1037,2022-2026,Brad,Bradford,Toronto Parking Authority,2,2023-03-03,Afternoon,12:30PM - 12:52PM,N
1038,2022-2026,Chris,Moise,Toronto Parking Authority,2,2023-03-03,Afternoon,12:30PM - 12:52PM,Y
1039,2022-2026,Alejandra,Bravo,General Government Committee,2,2023-03-03,Afternoon,12:43PM - 12:59PM,Y
1040,2022-2026,Lily,Cheng,General Government Committee,2,2023-03-03,Afternoon,12:43PM - 12:59PM,N
1041,2022-2026,Stephen,Holyday,General Government Committee,2,2023-03-03,Afternoon,12:43PM - 12:59PM,Y
1042,2022-2026,Josh,Matlow,General Government Committee,2,2023-03-03,Afternoon,12:43PM - 12:59PM,N
1043,2022-2026,James,Pasternak,General Government Committee,2,2023-03-03,Afternoon,12:43PM - 12:59PM,Y
1044,2022-2026,Gord,Perks,General Government Committee,2,2023-03-03,Afternoon,12:43PM - 12:59PM,Y
1045,2022-2026,Brad,Bradford,Toronto Parking Authority,2,2023-03-03,Afternoon,12:53PM - 12:54PM,N
1046,2022-2026,Chris,Moise,Toronto Parking Authority,2,2023-03-03,Afternoon,12:53PM - 12:54PM,Y
1047,2022-2026,Alejandra,Bravo,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,Y
1048,2022-2026,Alejandra,Bravo,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,Y
1049,2022-2026,Lily,Cheng,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,N
1050,2022-2026,Lily,Cheng,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,N
1051,2022-2026,Stephen,Holyday,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,Y
1052,2022-2026,Stephen,Holyday,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,Y
1053,2022-2026,Josh,Matlow,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,N
1054,2022-2026,Josh,Matlow,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,Y
1055,2022-2026,James,Pasternak,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,Y
1056,2022-2026,James,Pasternak,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,Y
1057,2022-2026,Gord,Perks,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,Y
1058,2022-2026,Gord,Perks,General Government Committee,2,2023-03-03,Afternoon,13:01PM - 13:04PM,Y
1059,2022-2026,Jon,Burnside,Civic Appointments Committee,4,2023-03-06,Morning,09:35AM - 10:09AM,Y
1060,2022-2026,Gary,Crawford,Civic Appointments Committee,4,2023-03-06,Morning,09:35AM - 10:09AM,Y
1061,2022-2026,Amber,Morley,Civic Appointments Committee,4,2023-03-06,Morning,09:35AM - 10:09AM,Y
1062,2022-2026,Jamaal,Myers,Civic Appointments Committee,4,2023-03-06,Morning,09:35AM - 10:09AM,Y
1063,2022-2026,Frances,Nunziata,Civic Appointments Committee,4,2023-03-06,Morning,09:35AM - 10:09AM,Y
1064,2022-2026,Jon,Burnside,Civic Appointments Committee,4,2023-03-06,Morning,10:10AM - 12:04PM,Y
1065,2022-2026,Gary,Crawford,Civic Appointments Committee,4,2023-03-06,Morning,10:10AM - 12:04PM,Y
1066,2022-2026,Amber,Morley,Civic Appointments Committee,4,2023-03-06,Morning,10:10AM - 12:04PM,Y
1067,2022-2026,Jamaal,Myers,Civic Appointments Committee,4,2023-03-06,Morning,10:10AM - 12:04PM,Y
1068,2022-2026,Frances,Nunziata,Civic Appointments Committee,4,2023-03-06,Morning,10:10AM - 12:04PM,Y
1069,2022-2026,Jon,Burnside,Civic Appointments Committee,4,2023-03-06,Afternoon,12:05PM - 12:08PM,Y
1070,2022-2026,Gary,Crawford,Civic Appointments Committee,4,2023-03-06,Afternoon,12:05PM - 12:08PM,Y
1071,2022-2026,Amber,Morley,Civic Appointments Committee,4,2023-03-06,Afternoon,12:05PM - 12:08PM,Y
1072,2022-2026,Jamaal,Myers,Civic Appointments Committee,4,2023-03-06,Afternoon,12:05PM - 12:08PM,Y
1073,2022-2026,Frances,Nunziata,Civic Appointments Committee,4,2023-03-06,Afternoon,12:05PM - 12:08PM,Y
1074,2022-2026,Stephen,Holyday,Nominating Panel - Corporations,1,2023-03-10,Morning,09:34AM - 09:36AM,Y
1075,2022-2026,Frances,Nunziata,Nominating Panel - Corporations,1,2023-03-10,Morning,09:34AM - 09:36AM,N
1076,2022-2026,James,Pasternak,Nominating Panel - Corporations,1,2023-03-10,Morning,09:34AM - 09:36AM,Y
1077,2022-2026,Stephen,Holyday,Nominating Panel - Corporations,1,2023-03-10,Morning,09:38AM - 09:56AM,Y
1078,2022-2026,Frances,Nunziata,Nominating Panel - Corporations,1,2023-03-10,Morning,09:38AM - 09:56AM,N
1079,2022-2026,James,Pasternak,Nominating Panel - Corporations,1,2023-03-10,Morning,09:38AM - 09:56AM,Y
1080,2022-2026,Stephen,Holyday,Nominating Panel - Corporations,1,2023-03-10,Morning,09:57AM - 09:59AM,Y
1081,2022-2026,Frances,Nunziata,Nominating Panel - Corporations,1,2023-03-10,Morning,09:57AM - 09:59AM,N
1082,2022-2026,James,Pasternak,Nominating Panel - Corporations,1,2023-03-10,Morning,09:57AM - 09:59AM,Y
1083,2022-2026,Stephen,Holyday,Nominating Panel - Corporations,2,2023-03-20,Morning,09:32AM - 09:34AM,Y
1084,2022-2026,Frances,Nunziata,Nominating Panel - Corporations,2,2023-03-20,Morning,09:32AM - 09:34AM,Y
1085,2022-2026,James,Pasternak,Nominating Panel - Corporations,2,2023-03-20,Morning,09:32AM - 09:34AM,Y
1086,2022-2026,Stephen,Holyday,Nominating Panel - Corporations,2,2023-03-20,Morning,09:35AM - 13:27PM,Y
1087,2022-2026,Frances,Nunziata,Nominating Panel - Corporations,2,2023-03-20,Morning,09:35AM - 13:27PM,Y
1088,2022-2026,James,Pasternak,Nominating Panel - Corporations,2,2023-03-20,Morning,09:35AM - 13:27PM,Y
1089,2022-2026,Jon,Burnside,Infrastructure and Environment Committee,2,2023-03-20,Morning,09:58AM - 12:30PM,N
1090,2022-2026,Mike,Colle,Infrastructure and Environment Committee,2,2023-03-20,Morning,09:58AM - 12:30PM,Y
1091,2022-2026,Jennifer,McKelvie,Infrastructure and Environment Committee,2,2023-03-20,Morning,09:58AM - 12:30PM,Y
1092,2022-2026,Amber,Morley,Infrastructure and Environment Committee,2,2023-03-20,Morning,09:58AM - 12:30PM,Y
1093,2022-2026,Anthony,Perruzza,Infrastructure and Environment Committee,2,2023-03-20,Morning,09:58AM - 12:30PM,Y
1094,2022-2026,Dianne,Saxe,Infrastructure and Environment Committee,2,2023-03-20,Morning,09:58AM - 12:30PM,Y
1095,2022-2026,Stephen,Holyday,Nominating Panel - Corporations,2,2023-03-20,Afternoon,13:28PM - 13:30PM,Y
1096,2022-2026,Frances,Nunziata,Nominating Panel - Corporations,2,2023-03-20,Afternoon,13:28PM - 13:30PM,Y
1097,2022-2026,James,Pasternak,Nominating Panel - Corporations,2,2023-03-20,Afternoon,13:28PM - 13:30PM,Y
1098,2022-2026,Jon,Burnside,Infrastructure and Environment Committee,2,2023-03-20,Afternoon,13:44PM - 16:04PM,N
1099,2022-2026,Mike,Colle,Infrastructure and Environment Committee,2,2023-03-20,Afternoon,13:44PM - 16:04PM,Y
1100,2022-2026,Jennifer,McKelvie,Infrastructure and Environment Committee,2,2023-03-20,Afternoon,13:44PM - 16:04PM,Y
1101,2022-2026,Amber,Morley,Infrastructure and Environment Committee,2,2023-03-20,Afternoon,13:44PM - 16:04PM,Y
1102,2022-2026,Anthony,Perruzza,Infrastructure and Environment Committee,2,2023-03-20,Afternoon,13:44PM - 16:04PM,Y
1103,2022-2026,Dianne,Saxe,Infrastructure and Environment Committee,2,2023-03-20,Afternoon,13:44PM - 16:04PM,Y
1104,2022-2026,Paul,Ainslie,Executive Committee,3,2023-03-21,Morning,09:32AM - 12:29PM,Y
1105,2022-2026,Brad,Bradford,Executive Committee,3,2023-03-21,Morning,09:32AM - 12:29PM,Y
